timestamp,open,high,low,close,volume
2024-01-01,10.00,10.30,9.70,10.00,1025
2024-01-02,10.00,10.30,9.40,9.70,1050
2024-01-03,9.70,10.00,9.10,9.40,1075
2024-01-04,9.40,9.70,8.90,9.20,1100
2024-01-05,9.20,9.80,8.90,9.50,1125
2024-01-06,9.50,10.20,9.20,9.90,1150
2024-01-07,9.90,10.70,9.60,10.40,1175
2024-01-08,10.40,11.20,10.10,10.90,1200
2024-01-09,10.90,11.60,10.60,11.30,1225
2024-01-10,11.30,12.10,11.00,11.80,1250
2024-01-11,11.80,12.50,11.50,12.20,1275
2024-01-12,12.20,12.90,11.90,12.60,1300
2024-01-13,12.60,13.20,12.30,12.90,1325
2024-01-14,12.90,13.40,12.60,13.10,1350
2024-01-15,13.10,13.70,12.80,13.40,1375
2024-01-16,13.40,13.70,12.70,13.00,1400
2024-01-17,13.00,13.30,12.40,12.70,1425
2024-01-18,12.70,13.00,12.00,12.30,1450
2024-01-19,12.30,12.60,11.70,12.00,1475
2024-01-20,12.00,12.30,11.30,11.60,1500
2024-01-21,11.60,11.90,11.00,11.30,1525
2024-01-22,11.30,11.60,10.70,11.00,1550
2024-01-23,11.00,11.30,10.50,10.80,1575
2024-01-24,10.80,11.10,10.30,10.60,1600
2024-01-25,10.60,11.20,10.30,10.90,1625
2024-01-26,10.90,11.50,10.60,11.20,1650
2024-01-27,11.20,11.90,10.90,11.60,1675
2024-01-28,11.60,12.30,11.30,12.00,1700
2024-01-29,12.00,12.80,11.70,12.50,1725
2024-01-30,12.50,13.20,12.20,12.90,1750
